Kod;Skolenhetsnamn;Grund-skola;Förskole-klass;Fritids-hem
0114;Bollstanäs skola;Ja;Ja;Ja
0114;Breddenskolan;Ja;Ja;Ja
0114;Engelska skolan Upplands Väsby;Ja;Ja;Ja
0114;Frestaskolan;Ja;Ja;Ja
0114;Grimstaskolan;Ja;;
0114;Internationella Engelska Skolan Upplands Väsby;Ja;Ja;Ja
0114;Nordanskolan;Ja;;
0114;Odenskolan;Ja;Ja;Ja
0114;Resursskolan Magneten;Ja;Ja;Ja
0114;Runby skola;Ja;Ja;Ja
0114;Språk- och mottagningsenheten;;;
0114;Sverigefinska sk, Uppl Väsby;Ja;Ja;Ja
0114;Södervikskolan;Ja;;
0114;Thoren Framtid Sandbergska;Ja;Ja;Ja
0114;Vikskolan;Ja;Ja;Ja
0114;Vittra Väsby;Ja;Ja;Ja
0114;Vuxenutbildningen;;;
0114;Väsby gymn Vuxenutb. Särvux;;;
0114;Väsby Nya Gymnasium;;;
0114;Väsby skola;Ja;Ja;Ja
0114;Väsby Vuxenutbildning SFI;;;
0114;Väsby Yrkesgymnasium (Skolenhet: 54882637);;;
0115;Aktiviaskolan;Ja;;
0115;Aktiviaskolan Enhet Eken;Ja;;
0115;Atlas, resursklass;;;Ja
0115;Bällstabergsskolan;Ja;Ja;Ja
0115;Clavis, resursklass;;;Ja
0115;Gustav Vasaskolan;Ja;Ja;Ja
0115;Hagaskolan;Ja;Ja;Ja
0115;IKASUS;;Ja;Ja
0115;IKASUS gy;;;
0115;Karbyskolan;Ja;Ja;Ja
0115;Karlslundsskolan;Ja;Ja;Ja
0115;Kårsta skola;Ja;Ja;Ja
0115;Lovisedalsskolan;Ja;Ja;Ja
0115;Modersmålsunderv;;;
0115;Olympiaskolan;Ja;Ja;Ja
0115;Rosendalsskolan;Ja;Ja;Ja
0115;Topasen, resursklass;;;Ja
0115;Vallentuna Friskola;Ja;;
0115;Vallentuna gymnasium;;;
0115;Vallentuna internationella montessoriskola;Ja;Ja;Ja
0115;Vittra Vallentuna;Ja;Ja;Ja
0117;Akers Friskola;Ja;Ja;Ja
0117;Bergsättraskolan;Ja;Ja;Ja
0117;Fredsborgskolan;Ja;Ja;Ja
0117;Helleborusskolan Österåker;Ja;Ja;Ja
0117;Komvux i Österåkers kommun;;;
0117;Komvux i Österåkers kommun    SFI;;;
0117;Komvux i Österåkers kommun    Särvux;;;
0117;Ljusterö skola;Ja;Ja;Ja
0117;Margretelundsskolan;Ja;Ja;Ja
0117;Modersmålsundervisningen;;;
0117;Roslags Kulla skola;Ja;Ja;Ja
0117;Rydbo friskola;Ja;Ja;Ja
0117;Rydbo skola;Ja;Ja;Ja
0117;Röllingbyskolan ;Ja;Ja;Ja
0117;Sjökarbyskolan;Ja;Ja;Ja
0117;Skärgårdsgymnasiet;;;
0117;Skärgårdsstadsskolan;Ja;Ja;Ja
0117;Solbackens Montessori;Ja;Ja;Ja
0117;Solskiftesskolan;Ja;;Ja
0117;Söraskolan;Ja;Ja;Ja
0117;Tråsättraskolan;Ja;;
0117;Åkerstorpsskolan;Ja;Ja;Ja
0117;Österskärsskolan;Ja;Ja;Ja
0117;Österåkers gymnasium;;;
0120;Antistilla skola;Ja;Ja;Ja
0120;Brunns skola;Ja;Ja;Ja
0120;Djurö skola;Ja;Ja;Ja
0120;Ekedalsskolan;Ja;Ja;Ja
0120;Fågelvik skola;Ja;Ja;Ja
0120;Grantomta Montessoriskola;Ja;Ja;Ja
0120;Gustavsbergs gymnasium ,G2,;;;
0120;Hemmestaskolan;Ja;Ja;Ja
0120;Internationella Engelska Skolan Värmdö;Ja;Ja;Ja
0120;Komvux Värmdö;;;
0120;Kullsvedsskolan;;Ja;Ja
0120;Kullsvedsskolan, Grundskola;Ja;;Ja
0120;Kvarnsbergsskolan;Ja;;
0120;Kyrkskolan;Ja;Ja;Ja
0120;Lemshaga Akademi;Ja;Ja;Ja
0120;Munkmoraskolan;Ja;Ja;Ja
0120;Mälardalens Ridgymnasium Gustavsberg;;;
0120;Möja skola;Ja;Ja;Ja
0120;Runmarö skola;Ja;Ja;Ja
0120;Skolan LÄR;Ja;Ja;Ja
0120;Svartsö skola;Ja;Ja;Ja
0120;Viks skola;Ja;Ja;Ja
0120;Vuxenutbildningsenheten Värmdö;;;
