Kod;Kommun;Skolenhetsnamn;Grund-skola;Förskole-klass;Fritids-hem
0114;Upplands Väsby;Bollstanäs skola;Ja;Ja;Ja
0114;Upplands Väsby;Breddenskolan;Ja;Ja;Ja
0114;Upplands Väsby;Engelska skolan Upplands Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Frestaskolan;Ja;Ja;Ja
0114;Upplands Väsby;Internationella Engelska Skolan Upplands Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Odenskolan;Ja;Ja;Ja
0114;Upplands Väsby;Resursskolan Magneten;Ja;Ja;Ja
0114;Upplands Väsby;Runby skola;Ja;Ja;Ja
0114;Upplands Väsby;Sverigefinska sk, Uppl Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Thoren Framtid Sandbergska;Ja;Ja;Ja
0114;Upplands Väsby;Vikskolan;Ja;Ja;Ja
0114;Upplands Väsby;Vittra Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Väsby skola;Ja;Ja;Ja
0115;Vallentuna;Bällstabergsskolan;Ja;Ja;Ja
0115;Vallentuna;Gustav Vasaskolan;Ja;Ja;Ja
0115;Vallentuna;Hagaskolan;Ja;Ja;Ja
0115;Vallentuna;Karbyskolan;Ja;Ja;Ja
0115;Vallentuna;Karlslundsskolan;Ja;Ja;Ja
0115;Vallentuna;Kårsta skola;Ja;Ja;Ja
0115;Vallentuna;Lovisedalsskolan;Ja;Ja;Ja
0115;Vallentuna;Olympiaskolan;Ja;Ja;Ja
0115;Vallentuna;Rosendalsskolan;Ja;Ja;Ja
0115;Vallentuna;Vallentuna internationella montessoriskola;Ja;Ja;Ja
0115;Vallentuna;Vittra Vallentuna;Ja;Ja;Ja
0117;Österåker;Akers Friskola;Ja;Ja;Ja
0117;Österåker;Bergsättraskolan;Ja;Ja;Ja
0117;Österåker;Fredsborgskolan;Ja;Ja;Ja
0117;Österåker;Helleborusskolan Österåker;Ja;Ja;Ja
0117;Österåker;Ljusterö skola;Ja;Ja;Ja
0117;Österåker;Margretelundsskolan;Ja;Ja;Ja
0117;Österåker;Roslags Kulla skola;Ja;Ja;Ja
0117;Österåker;Rydbo friskola;Ja;Ja;Ja
0117;Österåker;Rydbo skola;Ja;Ja;Ja
0117;Österåker;Röllingbyskolan ;Ja;Ja;Ja
0117;Österåker;Sjökarbyskolan;Ja;Ja;Ja
0117;Österåker;Skärgårdsstadsskolan;Ja;Ja;Ja
0117;Österåker;Solbackens Montessori;Ja;Ja;Ja
0117;Österåker;Söraskolan;Ja;Ja;Ja
0117;Österåker;Åkerstorpsskolan;Ja;Ja;Ja
0117;Österåker;Österskärsskolan;Ja;Ja;Ja
0120;Värmdö;Antistilla skola;Ja;Ja;Ja
0120;Värmdö;Brunns skola;Ja;Ja;Ja
