Kod;Kommun;Skolenhetsnamn;Grund-skola;Förskole-klass;Fritids-hem
0114;Upplands Väsby;Bollstanäs skola;Ja;Ja;Ja
0114;Upplands Väsby;Breddenskolan;Ja;Ja;Ja
0114;Upplands Väsby;Engelska skolan Upplands Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Frestaskolan;Ja;Ja;Ja
0114;Upplands Väsby;Grimstaskolan;Ja;;
0114;Upplands Väsby;Internationella Engelska Skolan Upplands Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Nordanskolan;Ja;;
0114;Upplands Väsby;Odenskolan;Ja;Ja;Ja
0114;Upplands Väsby;Resursskolan Magneten;Ja;Ja;Ja
0114;Upplands Väsby;Runby skola;Ja;Ja;Ja
0114;Upplands Väsby;Språk- och mottagningsenheten;;;
0114;Upplands Väsby;Sverigefinska sk, Uppl Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Södervikskolan;Ja;;
0114;Upplands Väsby;Thoren Framtid Sandbergska;Ja;Ja;Ja
0114;Upplands Väsby;Vikskolan;Ja;Ja;Ja
0114;Upplands Väsby;Vittra Väsby;Ja;Ja;Ja
0114;Upplands Väsby;Vuxenutbildningen;;;
0114;Upplands Väsby;Väsby gymn Vuxenutb. Särvux;;;
0114;Upplands Väsby;Väsby Nya Gymnasium;;;
0114;Upplands Väsby;Väsby skola;Ja;Ja;Ja
0114;Upplands Väsby;Väsby Vuxenutbildning SFI;;;
0114;Upplands Väsby;Väsby Yrkesgymnasium (Skolenhet: 54882637);;;
0115;Vallentuna;Aktiviaskolan;Ja;;
0115;Vallentuna;Aktiviaskolan Enhet Eken;Ja;;
0115;Vallentuna;Atlas, resursklass;;;Ja
0115;Vallentuna;Bällstabergsskolan;Ja;Ja;Ja
0115;Vallentuna;Clavis, resursklass;;;Ja
0115;Vallentuna;Gustav Vasaskolan;Ja;Ja;Ja
0115;Vallentuna;Hagaskolan;Ja;Ja;Ja
0115;Vallentuna;IKASUS;;Ja;Ja
0115;Vallentuna;IKASUS gy;;;
0115;Vallentuna;Karbyskolan;Ja;Ja;Ja
0115;Vallentuna;Karlslundsskolan;Ja;Ja;Ja
0115;Vallentuna;Kårsta skola;Ja;Ja;Ja
0115;Vallentuna;Lovisedalsskolan;Ja;Ja;Ja
0115;Vallentuna;Modersmålsunderv;;;
0115;Vallentuna;Olympiaskolan;Ja;Ja;Ja
0115;Vallentuna;Rosendalsskolan;Ja;Ja;Ja
0115;Vallentuna;Topasen, resursklass;;;Ja
0115;Vallentuna;Vallentuna Friskola;Ja;;
0115;Vallentuna;Vallentuna gymnasium;;;
0115;Vallentuna;Vallentuna internationella montessoriskola;Ja;Ja;Ja
0115;Vallentuna;Vittra Vallentuna;Ja;Ja;Ja
0117;Österåker;Akers Friskola;Ja;Ja;Ja
